userId,id,title,completed
1,1,delectus aut autem,False
1,2,quis ut nam facilis et officia qui,False
1,3,fugiat veniam minus,False
1,4,et porro tempora,True
1,5,laboriosam mollitia et enim quasi adipisci quia provident illum,False
1,6,qui ullam ratione quibusdam voluptatem quia omnis,False
1,7,illo expedita consequatur quia in,False
1,8,quo adipisci enim quam ut ab,True
1,9,molestiae perspiciatis ipsa,False
1,10,illo est ratione doloremque quia maiores aut,True
1,11,vero rerum temporibus dolor,True
1,12,ipsa repellendus fugit nisi,True
1,13,et doloremque nulla,False
1,14,repellendus sunt dolores architecto voluptatum,True
1,15,ab voluptatum amet voluptas,True
1,16,accusamus eos facilis sint et aut voluptatem,True
1,17,quo laboriosam deleniti aut qui,True
1,18,dolorum est consequatur ea mollitia in culpa,False
1,19,molestiae ipsa aut voluptatibus pariatur dolor nihil,True
1,20,ullam nobis libero sapiente ad optio sint,True
